Long,Lat,texture_class,clay_content,bulk_density,aluminium_extractable,carbon_total,calcium_extractable,cation_exchange_capacity,iron_extractable,potassium_extractable,magnesium_extractable,nitrogen_total,carbon_organic,phosphorous_extractable,sulphur_extractable,zinc_extractable,pH,sand_content,silt_content,stone_content
4.120416667,8.169766667,Sandy Loam,11,1.25,120.5,12.5,491.7,4,59.3,72.7,98.5,0.7,7.2,7.2,5,2.7,6.1,69,15,6.4
4.120416667,8.169766667,Sandy Loam,11,1.25,120.5,12.5,491.7,4,59.3,72.7,98.5,0.7,7.2,7.2,5,2.7,6.1,69,15,6.4
4.12045,7.479116667,Sandy Loam,16,1.32,48.4,29,600.8,8,80.5,65.7,98.5,1.4,9,7.2,5.7,2.7,5.9,56,15,1.7
4.12045,7.479116667,Sandy Loam,16,1.32,48.4,29,600.8,8,80.5,65.7,98.5,1.4,9,7.2,5.7,2.7,5.9,56,15,1.7
4.12045,7.479266667,Sandy Loam,16,1.32,48.4,29,600.8,8,80.5,65.7,98.5,1.4,9,7.2,5.7,2.7,5.9,56,15,1.7
4.12045,7.479266667,Sandy Loam,16,1.32,48.4,29,600.8,8,80.5,65.7,98.5,1.4,9,7.2,5.7,2.7,5.9,56,15,1.7
4.120466667,8.168933333,Sandy Loam,12,1.26,133.3,13.9,543.6,5,59.3,80.5,108.9,0.7,7.2,7.2,5,2.7,6.2,71,15,5
4.120466667,8.168933333,Sandy Loam,12,1.26,133.3,13.9,543.6,5,59.3,80.5,108.9,0.7,7.2,7.2,5,2.7,6.2,71,15,5
4.120383333,7.462766667,Sandy Clay Loam,20,1.32,53.6,21.2,600.8,8,65.7,59.3,108.9,1.4,10,8,5.7,2.3,5.9,60,16,3.5
4.120383333,7.462766667,Sandy Clay Loam,20,1.32,53.6,21.2,600.8,8,65.7,59.3,108.9,1.4,10,8,5.7,2.3,5.9,60,16,3.5
4.1204,7.781216667,Sandy Loam,16,1.27,133.3,19.1,543.6,6.4,65.7,80.5,147.4,1.2,10,8,7.2,2.3,5.9,65,16,3.1
4.1204,7.781216667,Sandy Loam,16,1.27,133.3,19.1,543.6,6.4,65.7,80.5,147.4,1.2,10,8,7.2,2.3,5.9,65,16,3.1
4.120466667,7.46105,Sandy Loam,19,1.33,53.6,26.1,664.1,8,59.3,59.3,108.9,1.7,9,7.2,5.7,2,6,59,16,1.7
4.120466667,7.46105,Sandy Loam,19,1.33,53.6,26.1,664.1,8,59.3,59.3,108.9,1.7,9,7.2,5.7,2,6,59,16,1.7
4.120351667,7.780816667,Sandy Loam,15,1.26,133.3,19.1,491.7,6.4,59.3,80.5,133.3,1.4,10,8,7.2,2.3,5.8,66,16,3.5
4.120351667,7.780816667,Sandy Loam,15,1.26,133.3,19.1,491.7,6.4,59.3,80.5,133.3,1.4,10,8,7.2,2.3,5.8,66,16,3.5
4.120333333,7.671866667,Sandy Loam,19,1.29,120.5,26.1,600.8,7.2,72.7,72.7,133.3,1.3,9,8,5.7,2,5.9,61,17,2.3
4.120333333,7.671866667,Sandy Loam,19,1.29,120.5,26.1,600.8,7.2,72.7,72.7,133.3,1.3,9,8,5.7,2,5.9,61,17,2.3
4.120333333,7.670083333,Sandy Loam,18,1.28,108.9,26.1,491.7,6.4,89,72.7,133.3,1.4,10,8,6.4,2,5.8,57,17,1.7
4.120483333,7.670083333,Sandy Loam,19,1.29,108.9,29,491.7,7.2,89,72.7,133.3,1.4,10,7.2,6.4,2.3,5.7,60,15,2
4.120483333,7.377566667,Sandy Loam,17,1.3,39.4,32.1,543.6,7.2,72.7,59.3,108.9,1.5,9,6.4,5,2.3,5.9,60,14,2
4.120483333,7.377566667,Sandy Loam,17,1.3,39.4,32.1,543.6,7.2,72.7,59.3,108.9,1.5,9,6.4,5,2.3,5.9,60,14,2
4.120483333,7.439816667,Sandy Loam,18,1.3,59.3,26.1,600.8,8,72.7,65.7,120.5,1.6,10,7.2,5.7,2,6.1,57,16,1.7
4.120483333,7.439816667,Sandy Loam,18,1.3,59.3,26.1,600.8,8,72.7,65.7,120.5,1.6,10,7.2,5.7,2,6.1,57,16,1.7
4.1204,7.60525,Sandy Loam,16,1.35,98.5,23.5,600.8,7.2,65.7,72.7,120.5,1.1,10,6.4,5.7,2,5.9,60,14,2.3
4.1204,7.60525,Sandy Loam,16,1.35,98.5,23.5,600.8,7.2,65.7,72.7,120.5,1.1,10,6.4,5.7,2,5.9,60,14,2.3
4.120365,7.606966667,Sandy Loam,16,1.33,98.5,29,600.8,8,65.7,80.5,108.9,1.2,10,6.4,6.4,2.3,6,60,15,2.3
